mJy     G     R
-15.0     0     0
-14.0     0     0
-13.0     1     0
-12.0     2     0
-11.0     5     0
-10.0     7     3
 -9.0     2     6
 -8.0    11     2
 -7.0    11     6
 -6.0     7    11
 -5.0    13    12
 -4.0    11    18
 -3.0    25    19
 -2.0    39    23
 -1.0    31    20
  0.0    32    25
  1.0    37    27
  2.0    22    27
  3.0    31    23
  4.0    23    22
  5.0    21    11
  6.0    11    16
  7.0     6    10
  8.0    16     0
  9.0     4     0
 10.0     6     5
 11.0     4     0
 12.0     2     4
 13.0     6     0
 14.0     0     0
 15.0     0     0
